date,home_team,away_team,tournament,city,country,neutral,year,month,day,result,home_points,away_points,home_capital,away_capital,home_comb,away_comb,stadium_comb,home_lat,home_lon,away_lat,away_lon,stadium_lat,stadium_lon,home_stadium_distance_km,away_stadium_distance_km,home_fix_1,home_fix_2,home_shots_1,home_shots_2,home_shots_against_1,home_shots_against_2,home_scored_1,home_scored_2,home_conceded_1,home_conceded_2,home_relative_shots_1,home_relative_shots_2,home_relative_goals_1,home_relative_goals_2,away_fix_1,away_fix_2,away_shots_1,away_shots_2,away_shots_against_1,away_shots_against_2,away_scored_1,away_scored_2,away_conceded_1,away_conceded_2,away_relative_shots_1,away_relative_shots_2,away_relative_goals_1,away_relative_goals_2,home_ranking,away_ranking,home_temperature_max,home_temperature_min,home_precipitation,home_wind_speed,away_temperature_max,away_temperature_min,away_precipitation,away_wind_speed,stadium_temperature_max,stadium_temperature_min,stadium_precipitation,stadium_wind_speed,home_stadium_temp_max,home_stadium_temp_min,home_stadium_temp_avg,away_stadium_temp_max,away_stadium_temp_min,away_stadium_temp_avg
1994-07-03,Romania,Argentina,FWC,Pasadena,United States,True,1994,7,3,1,55.0,55.0,Bucharest,Buenos Aires,"Bucharest, Romania","Buenos Aires, Argentina","Pasadena, United States",44.4361414,26.102684,-34.6095579,-58.3887904,34.1476507,-118.144155,10559.768367178885,9852.940781750822,7.482,6.536,15,12,17,10,1,1,0,4,0.4688,0.5455,1.0,0.2,6.873,7.327,13,17,8,12,0,2,2,1,0.619,0.5862,0.0,0.6667,52,2,27.1,18.6,0.0,10.9,15.1,4.5,0.0,14.4,27.8,15.6,0.0,12.9,0.6999999999999993,3.0000000000000018,1.8500000000000005,12.700000000000001,11.1,11.9
1994-07-03,Saudi Arabia,Sweden,FWC,Dallas,United States,True,1994,7,3,2,40.0,55.0,Riyadh,Stockholm,"Riyadh, Saudi Arabia","Stockholm, Sweden","Dallas, United States",24.638916,46.7160104,59.3251172,18.0710935,32.7762719,-96.7968559,12551.315484339952,8164.766904815777,7.445,7.118,13,11,19,28,1,2,0,1,0.4062,0.2821,1.0,0.6667,7.136,7.555,7,21,17,11,1,3,1,1,0.2917,0.6562,0.5,0.75,58,37,40.8,25.2,0.0,26.2,23.3,14.2,0.0,14.0,35.3,25.7,0.0,21.3,5.5,0.5,3.0,11.999999999999996,11.5,11.749999999999998
1994-07-04,Netherlands,Republic of Ireland,FWC,Orlando,United States,True,1994,7,4,1,59.0,53.0,Amsterdam,Dublin,"Amsterdam, Netherlands","Dublin, Republic of Ireland","Orlando, United States",52.3730796,4.8924534,53.3493795,-6.2605593,28.5421218,-81.379045,7293.027184125438,6538.377088830667,7.236,7.118,11,15,10,16,2,0,1,1,0.5238,0.4839,0.6667,0.0,7.091,6.691,7,13,12,11,0,1,0,2,0.3684,0.5417,0.5,0.3333,9,55,22.3,16.5,0.7,19.7,18.0,14.5,8.0,17.3,28.7,23.2,6.2,10.1,6.399999999999999,6.699999999999999,6.549999999999999,10.7,8.7,9.7
1994-07-05,Nigeria,Italy,FWC,Foxborough,United States,True,1994,7,5,2,54.0,57.0,Abuja,Rome,"Abuja, Nigeria","Rome, Italy","Foxborough, United States",9.0643305,7.4892974,41.8933203,12.4829321,42.0653768,-71.2478308,8406.041143267046,6614.743456954931,7.536,6.882,22,12,13,17,2,1,0,2,0.6286,0.4138,1.0,0.3333,7.155,6.891,10,15,11,6,1,1,1,0,0.4762,0.7143,0.5,1.0,26,15,25.2,21.2,14.0,13.2,31.6,19.8,0.0,9.8,29.0,16.5,0.0,18.3,3.8000000000000007,4.699999999999999,4.25,2.6000000000000014,3.3000000000000007,2.950000000000001
1994-07-05,Mexico,Bulgaria,FWC,East Rutherford,United States,True,1994,7,5,0,51.0,44.0,Mexico City,Sofia,"Mexico City, Mexico","Sofia, Bulgaria","East Rutherford, United States",19.3207722,-99.1514678,42.6977028,23.3217359,40.833989,-74.0970865,3372.3000848118954,7581.837963344749,6.936,7.227,11,11,10,13,1,2,1,1,0.5238,0.4583,0.5,0.6667,7.145,7.527,8,13,13,12,2,4,0,0,0.381,0.52,1.0,1.0,10,85,21.8,9.8,5.0,6.2,28.0,18.2,0.0,6.7,27.3,19.1,0.1,11.8,5.5,9.3,7.4,0.6999999999999993,0.9000000000000021,0.8000000000000007
1994-07-09,Italy,Spain,FWC,Foxborough,United States,True,1994,7,9,1,57.0,56.0,Rome,Madrid,"Rome, Italy","Madrid, Spain","Foxborough, United States",41.8933203,12.4829321,40.416782,-3.703507,42.0653768,-71.2478308,6614.743456954931,5497.273729792037,7.473,7.155,21,10,14,11,2,1,1,1,0.6,0.4762,0.6667,0.5,7.536,7.345,10,13,16,14,3,3,0,1,0.3846,0.4815,1.0,0.75,15,1,30.0,18.1,0.2,11.2,34.3,19.5,0.0,12.3,31.0,21.3,2.2,15.0,1.0,3.1999999999999993,2.0999999999999996,3.299999999999997,1.8000000000000007,2.549999999999999
1994-07-09,Netherlands,Brazil,FWC,Dallas,United States,True,1994,7,9,2,59.0,59.0,Amsterdam,Brasília,"Amsterdam, Netherlands","Brasília, Brazil","Dallas, United States",52.3730796,4.8924534,-15.7939869,-47.8828,32.7762719,-96.7968559,7900.296112495846,7494.149348722972,7.291,7.236,14,11,20,10,2,2,0,1,0.4118,0.5238,1.0,0.6667,7.418,7.064,20,17,4,7,1,1,0,1,0.8333,0.7083,1.0,0.5,9,5,20.2,14.5,0.0,8.2,21.4,13.6,0.0,17.7,29.6,24.7,1.2,17.3,9.400000000000002,10.2,9.8,8.200000000000003,11.1,9.650000000000002
1994-07-10,Bulgaria,Germany,FWC,East Rutherford,United States,True,1994,7,10,1,44.0,60.0,Sofia,Berlin,"Sofia, Bulgaria","Berlin, Germany","East Rutherford, United States",42.6977028,23.3217359,52.5173885,13.3951309,40.833989,-74.0970865,7581.837963344749,6380.736425313851,7.255,7.145,11,8,22,13,4,2,2,0,0.3333,0.381,0.6667,1.0,7.345,7.173,21,14,12,19,3,3,2,2,0.6364,0.4242,0.6,0.6,85,12,20.6,13.9,0.6,11.6,24.0,13.7,0.0,15.4,30.0,23.4,0.0,19.1,9.399999999999999,9.499999999999998,9.45,6.0,9.7,7.85
1994-07-10,Romania,Sweden,FWC,Palo Alto,United States,True,1994,7,10,0,55.0,55.0,Bucharest,Stockholm,"Bucharest, Romania","Stockholm, Sweden","Palo Alto, United States",44.4361414,26.102684,59.3251172,18.0710935,37.4443293,-122.1598465,10367.4951190878,8649.238460265922,7.2,7.482,13,15,22,17,3,1,2,0,0.3714,0.4688,0.6,1.0,7.582,7.136,19,7,16,17,3,1,1,1,0.5429,0.2917,0.75,0.5,52,37,20.7,17.5,21.9,12.0,26.2,15.7,0.0,17.3,26.0,14.2,0.0,13.0,5.300000000000001,3.3000000000000007,4.300000000000001,0.1999999999999993,1.5,0.8499999999999996
1994-07-13,Bulgaria,Italy,FWC,East Rutherford,United States,True,1994,7,13,2,44.0,57.0,Sofia,Rome,"Sofia, Bulgaria","Rome, Italy","East Rutherford, United States",42.6977028,23.3217359,41.8933203,12.4829321,40.833989,-74.0970865,7581.837963344749,6888.707848815244,7.255,7.255,14,11,25,22,2,4,1,2,0.359,0.3333,0.6667,0.6667,7.064,7.473,6,21,14,14,2,2,1,1,0.3,0.6,0.6667,0.6667,85,15,19.1,14.8,3.5,10.4,30.6,19.5,0.0,8.3,33.0,20.7,0.8,11.6,13.899999999999999,5.899999999999999,9.899999999999999,2.3999999999999986,1.1999999999999993,1.799999999999999
